Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
AirForce Delta Strike,KCE Studios,Konami,PlayStation 2,Simulation|Flight,3 Feb 2004,7.2
AirForce Delta,KCE Studios|Climax Entertainment,Konami,Dreamcast|Game Boy Color,Flight|Simulation,8 Sep 1999,7.5
Airport Tycoon 3,InterActive Vision Games,Global Star Software,PC,Management|Strategy,30 Oct 2003,5.7
Akai Katana Shin,Cave,Cave|Rising Star Games,Arcade Games|Xbox 360,Shoot-'Em-Up|2D|Action,15 May 2012,7.5
Akiba's Trip: Undead & Undressed,Acquire,Xseed Games|Acquire|NIS America,PC|PlayStation 3|PlayStation 4|PlayStation Vita,Action|Adventure,7 Nov 2013,6.6
Akimbo: Kung-Fu Hero,Iridon Interactive AB,Global Star Software|Msd-Japan,PC,Action|Platformer|2D,31 Jul 2001,5.4
Akimi Village,NinjaBee,Sony Online Entertainment,PlayStation 3,Miscellaneous,15 Jun 2011,7.2
Akuji the Heartless,Crystal Dynamics,Eidos Interactive,PlayStation,Adventure|Action,31 Dec 1998,6.6
Alan Wake,Remedy Entertainment,Remedy Entertainment|Microsoft Game Studios|Nordic Games Publishing|E-Frontier|Microsoft,PC|Xbox 360,Adventure|Survival|3D|Action,18 May 2010,8.5
Alan Wake's American Nightmare,Remedy Entertainment,Nordic Games Publishing|Mastertronic|Remedy Entertainment|Microsoft Game Studios,PC|Xbox 360,Action|Adventure,22 Feb 2012,7.5
Albert Odyssey: Legend of Eldean,SunSoft,SunSoft|Wooyoung System|Working Designs,Saturn,Role-Playing,31 Jul 1997,8.1
Albion,Blue Byte,Blue Byte,PC,Role-Playing,31 Aug 1996,8.1
Alcatraz: Prison Escape,Activision Value,Activision Value,PC,Adventure|Survival|3D|Action,23 Nov 2001,4.8
Alchemy,PopCap,Astraware|MSN Games,Palm OS Classic|PC|Windows Mobile,Puzzle,10 Sep 2004,7.7
