,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
2172,a2173,Echo Night,From Software,From Software|Agetec Inc.|SCEA,PlayStation,First-Person|Adventure|3D,31 Jul 1999,7.8,1999-07-31
2173,a2174,Echo: Secrets of the Lost Cavern,Kheops Studio|Tetraedge,Coladia|The Adventure Company|The Adventure Shop|Tetraedge,Macintosh|PC|Windows Mobile,3D|Adventure|Third-Person,5 Jul 2005,7.2,2005-07-05
2174,a2175,echochrome ii,SCE Japan Studio,SCEE|SCEI|SCEA,PlayStation 3,Puzzle|Action,21 Dec 2010,7.3,2010-12-21
2175,a2176,echochrome,SCE Japan Studio|SCE/WWS,SCE Australia|SCEI|SCEA|SCEE|SCE Korea,PlayStation 3|PSP,Action|Puzzle,1 May 2008,7.7,2008-05-01
2176,a2177,Ecks vs. Sever,Crawfish Interactive,Bam Entertainment,Game Boy Advance,First-Person|Shooter|3D|Action,27 Nov 2001,7.0,2001-11-27
2177,a2178,Eco-Creatures: Save the Forest,Headlock,Rising Star Games|Majesco Games|Interchannel,DS,Real-Time|Strategy,4 Mar 2008,6.6,2008-03-04
2178,a2179,Ecstatica II,Andrew Spencer,Psygnosis,PC,Action|Adventure|Survival|3D,31 May 1997,7.5,1997-05-31
2179,a2180,ECW Anarchy Rulz,Acclaim Studios Salt Lake City,Acclaim,Dreamcast|PlayStation,Action|Fighting|Wrestling,15 Aug 2000,6.4,2000-08-15
2180,a2181,ECW Hardcore Revolution,Acclaim Studios Salt Lake City|Crawfish Interactive|Acclaim,Acclaim,Dreamcast|Game Boy Color|Nintendo 64|PlayStation,Fighting|Action|Wrestling,31 Jan 2000,5.7,2000-01-31
2181,a2182,Edge,Two Tribes|MForma Europe Limited|Mobigame,Two Tribes|Rainy Frog|MForma Europe Limited|Mobigame,3DS|BlackBerry|iOS (iPhone/iPad)|Linux|Macintosh|PC|PSP|Wii U,Puzzle,24 Dec 2008,7.4,2008-12-24
2182,a2183,Eets,Klei Entertainment,Klei Entertainment,Macintosh|PC|Xbox 360,Action|Platformer|2D,29 Mar 2006,7.4,2006-03-29
2183,a2184,EF2000,Digital Image Design,Ocean,PC,Simulation|Flight,31 Oct 1995,8.0,1995-10-31
2184,a2185,Egg Mania: Eggstreme Madness,HotGen|Kemco,Kemco,Game Boy Advance|GameCube|PlayStation 2|Xbox,Puzzle,11 Sep 2002,6.0,2002-09-11
2185,a2186,Eggs of Steel: Charlie's Eggcellent Adventure,Rhythm & Hues,ATLUS|Enix Corporation,PlayStation,Action,31 Oct 1998,5.8,1998-10-31
2186,a2187,Ehrgeiz,DreamFactory,Namco|SquareSoft|Square EA|Square Enix,Arcade Games|PlayStation,Fighting|3D|Action,1998,7.2,1998-01-01
2187,a2188,Einhander,SquareSoft,SCEA|SquareSoft|Square Enix,PlayStation,Shoot-'Em-Up|Action|2D,5 May 1998,8.7,1998-05-05
2188,a2189,El Matador,Plastic Reality,Cenega Publishing|Excalibur Publishing Limited|Red Mile Entertainment|1C,PC,Third-Person|3D|Action|Shooter,29 Sep 2006,6.7,2006-09-29
2189,a2190,El Shaddai: Ascension of the Metatron,Ignition Entertainment,Ignition Entertainment,PlayStation 3|Xbox 360,Action|Adventure,16 Aug 2011,7.3,2011-08-16
2190,a2191,Elebits: The Adventures of Kai and Zero,Konami,Konami,DS,Adventure|3D|Third-Person,6 Jan 2009,8.3,2009-01-06
2191,a2192,Elebits,Konami,Konami,Wii,Action,12 Dec 2006,7.7,2006-12-12
2192,a2193,Electroplankton,Indies Zero,Nintendo,DS,Music/Rhythm,9 Jan 2006,8.0,2006-01-09
2193,a2194,Elefunk,8bit Games,SCEI|SCEA|SCEE,PlayStation 3,Platformer|Action|2D,17 Jul 2008,7.1,2008-07-17
2194,a2195,Elektra,Mforma,Mforma,Mobile,Action|Platformer|2D,8 Apr 2005,5.4,2005-04-08
2195,a2196,Elemental Gearbolt,Alfa System,SCEI|Alfa System|Working Designs,PlayStation,Shooter|Action|Light-Gun,30 Jun 1998,8.0,1998-06-30
2196,a2197,Elemental Gimmick Gear,Birthday,Vatical Entertainment|Hudson,Dreamcast,Role-Playing,31 Dec 1999,7.4,1999-12-31
2197,a2198,Elemental: War of Magic,Stardock,Stardock|N3V Games Pty Ltd,PC,Strategy|Turn-Based,24 Aug 2010,5.8,2010-08-24
2198,a2199,Elements of Destruction,Black Lantern Studios|Frozen Codebase,THQ,DS|PC|Xbox 360,Strategy,17 Dec 2007,6.1,2007-12-17
