,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6076,b6077,Shin Megami Tensei: Digital Devil Saga 2,Atlus,Atlus|Ghostlight,PlayStation 2|PlayStation 3,Third-Person|Turn-Based|Role-Playing,03 October 2005,8.4,2005-10-03
6077,b6078,Shin Megami Tensei II,Atlus,Atlus,Super Nintendo,First-Person|Turn-Based|Role-Playing,,7.8,
6078,b6079,Shin Megami Tensei III: Nocturne,Atlus,Atlus|Ghostlight|Ubisoft,PC|PlayStation 2|PlayStation 3,Third-Person|Turn-Based|Role-Playing,12 October 2004,8.7,2004-10-12
6079,b6080,Shin Megami Tensei IV,Atlus,Atlus,Nintendo 2DS|Nintendo 3DS,Turn-Based|Role-Playing,16 July 2013,8.6,2013-07-16
6080,b6081,Shin Megami Tensei IV: Apocalypse,Atlus,Atlus,Nintendo 3DS,Role-Playing,20 September 2016,8.3,2016-09-20
6081,b6082,Shin Megami Tensei: Persona,Atlus,Atlus,PlayStation Vita|PSP,First-Person|Turn-Based|Role-Playing,22 September 2009,7.2,2009-09-22
6082,b6083,Shin Megami Tensei: Persona 3,Atlus,Atlus|Atlus U.S.A.|Koei,PC|PlayStation 2|PlayStation 3|PSP,Turn-Based|Role-Playing|Simulation,14 August 2007,9.2,2007-08-14
6083,b6084,Shin Megami Tensei: Persona 3 FES,Atlus,Atlus,Emulated|PC|PlayStation 2|PlayStation 3,Turn-Based|Role-Playing|Simulation,22 April 2008,9.1,2008-04-22
6084,b6085,Shin Megami Tensei: Persona 3 Portable,Atlus,Atlus,PlayStation Vita|PSP,Turn-Based|Role-Playing|Simulation,06 July 2010,8.9,2010-07-06
6085,b6086,Shin Megami Tensei: Persona 4,Atlus,Atlus|Square Enix,Emulated|PC|PlayStation 2|PlayStation 3|PlayStation Vita,Turn-Based|Role-Playing|Simulation,09 December 2008,9.3,2008-12-09
